"TOA5","4372","CR350","4372","CR350-CELL215.Std.01.07","CPU:VITO_J6368_V2R0_20250311.CRB","58277","TableHour"
"TIMESTAMP","RECORD","JobID","StationID","WSpd_Min","WSpd_Max","WSpd_Avg","WSpd_Std","WDir_Avg","WDir_Std","Wind_Success_Tot","AirTemp_Avg","RH","DewPointTemp_Avg","Revolutions_Per_Minute_Tot","SlrW_Avg","SlrMJ_Tot","Rain_Tot","VWCmineral_Avg","VWCsoilless_Avg","VWCdielectric_Avg","ECBulk_Avg","ECPore_Avg","BPress_Avg","LoggerSerialNumber","ProgramName","ProgramSignature","LoggerBattery_Avg","LoggerLithiumBatt","LoggerTemp_Avg","PingTime_Avg","ScanCount"
"TS","RN","","","m/s","m/s","m/s","m/s","Deg","Deg","","DegC","%","DegC","RPM","W/m^2","MJ/m^2","mm","m^3/m^3","m^3/m^3","","dS/m","dS/m","hPa","","","","V","","degC","msec",""
"","","Smp","Smp","Min","Max","Avg","Std","WVc","WVc","Tot","Avg","Smp","Avg","Tot","Avg","Tot","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Avg","Smp","Avg","Avg","Tot"
"2025-03-15 03:00:00",61,"VITO_J6368","Station1",0.06,5.41,2.46,0.715,80.5,13.97,3596,21.04,59.6,12.78,7868250,0.0972333,0.0003500399,0.2,0.05710139,0.1417766,3.107187,0.0008416667,-0.06719853,1008.313,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.7,"3.260767",25.24,143,3600
"2025-03-15 04:00:00",62,"VITO_J6368","Station1",0.05,5.07,1.859,0.732,89.2,18.12,3597,20.65,59.55,12.57,7846830,0.0973763,0.0003505547,1.5,0.05719206,0.1419768,3.111016,0.0009,-0.07237328,1008.1,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.69,"3.260767",24.64,106.6,3600
"2025-03-15 05:00:00",63,"VITO_J6368","Station1",0.09,3.84,1.476,0.579,96.4,21.95,3597,20.23,61.8,12.3,7824420,0.09762507,0.0003514503,0,0.05728064,0.1421723,3.11476,0.0008916667,-0.07215484,1008.131,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.68,"3.260767",24.08,112.9,3600
"2025-03-15 06:00:00",64,"VITO_J6368","Station1",0.03,3.73,1.068,0.409,100.2,23.3,3593,19.44,64.82,12.3,7787490,0.09665781,0.0003479681,0.8,0.0573004,0.1422158,3.115597,0.0008666667,-0.07044239,1008.404,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.66,"3.260767",23.34,148.1,3600
"2025-03-15 07:00:00",65,"VITO_J6368","Station1",0.03,2.12,1.001,0.35,88.3,19.57,3597,18.91,65.68,12.26,7760700,0.1719673,0.0006190823,0.05,0.05737351,0.1423769,3.118688,0.0008916667,-0.07287918,1009.038,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.65,"3.260767",22.52,187.2,3600
"2025-03-15 08:00:00",66,"VITO_J6368","Station1",0.03,2.12,1.001,0.35,88.3,19.57,3597,18.91,65.68,12.26,7760700,0.1719673,0.0006190823,0.05,0.05737351,0.1423769,3.118688,0.0008916667,-0.07287918,1009.038,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.65,"3.260767",22.52,187.2,3600
"2025-03-15 09:00:00",67,"VITO_J6368","Station1",0.03,2.12,1.001,0.35,88.3,19.57,3597,18.91,65.68,12.26,7760700,0.1719673,0.0006190823,0.55,0.05737351,0.1423769,3.118688,0.0008916667,-0.07287918,1009.038,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.65,"3.260767",22.52,187.2,3600
"2025-03-15 10:00:00",68,"VITO_J6368","Station1",0.03,2.12,1.001,0.35,88.3,19.57,3597,18.91,65.68,12.26,7760700,0.1719673,0.0006190823,0.05,0.05737351,0.1423769,3.118688,0.0008916667,-0.07287918,1009.038,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.65,"3.260767",22.52,187.2,3600
"2025-03-15 11:00:00",69,"VITO_J6368","Station1",0.03,2.12,1.001,0.35,88.3,19.57,3597,18.91,65.68,12.26,7760700,0.1719673,0.0006190823,0.65,0.05737351,0.1423769,3.118688,0.0008916667,-0.07287918,1009.038,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.65,"3.260767",22.52,187.2,3600
"2025-03-15 12:00:00",70,"VITO_J6368","Station1",0.03,2.12,1.001,0.35,88.3,19.57,3597,18.91,65.68,12.26,7760700,0.1719673,0.0006190823,0.05,0.05737351,0.1423769,3.118688,0.0008916667,-0.07287918,1009.038,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.65,"3.260767",22.52,187.2,3600
"2025-03-15 13:00:00",71,"VITO_J6368","Station1",0.03,2.12,1.001,0.35,88.3,19.57,3597,18.91,65.68,12.26,7760700,0.1719673,0.0006190823,2,0.05737351,0.1423769,3.118688,0.0008916667,-0.07287918,1009.038,"4372","CPU:VITO_J6368_V2R0_20250311.CRB","58277",12.65,"3.260767",22.52,187.2,3600
